Power Name,Requirement,Trigger,Sustain Action,Weapon Bonus,Primary Target,Secondary Target,Secondary Attack,Secondary Hit,Tertiary Target,Tertiary Attack,Tertiary Hit,Range,Hit Effects,Miss Effects,Effects,Special Effects,Damage Increase at 11,Damage Increase at 21,Description
~CLERIC STANDARD~,,,,,,,,,,,,,,,,,,,
Lance of Faith,null,null,null,null,One Creature,null,null,null,null,null,null,5,One ally you can see gains a +2 power bonus to their next attack against the target.,null,null,null,null,2d8 + Wisdom modifier,A brilliant ray of light sears your foe with golden radiance. Sparkles of light linger around the target% guiding your ally’s attack
Priest's Shield,null,null,null,null,One Creature,null,null,null,null,null,null,Melee,you and one adjacent ally gain a +1 power bonus to AC until end of your next turn.,null,null,null,null,2[W] + Strength modifier,You utter a minor defensive prayer as you attack with your weapon.
Righteous Brand,null,null,null,null,One Creature,null,null,null,null,null,null,Melee,one ally within 5 squares of you gains a power bonus to melee attack rolls against the target equal to your Strength modifier until the end of your next turn.,null,null,null,null,2[W] + Strength modifier,You smite your foe with your weapon and brand it with a ghostly%glowing symbol of your diety's anger. By naming one of your allies when the symbol appears% you add divine power to that ally's attacks against that branded foe.
Sacred Flame,null,null,null,null,One Creature,null,null,null,null,null,null,5,one ally you can see chooses either to gain temporary hit points equal to your Charisma modifer + one-half your level or to make a saving throw.,null,null,null,null,2d6 + Wisdom Modifier,Sacred light shines from above% searing a single enemy with its radiance while at the same time aiding an ally with its beneficent power.
Cause Fear,null,null,null,null,One Creature,null,null,null,null,null,null,10,The target moves its speed + your Charisma modifier away from you. The fleeing target avoids unsafe squares and difficult terrain if it can. This movement provokes opportunity attacks.,null,null,null,null,null,Your holy symbol ignites with the fury of your god. Uncontrolable terror grips your enemy% causing him to instantly recoil.
Divine Glow,null,null,null,null,Each enemy in blast,null,null,null,null,null,null,Close Blast 3,null,null,Allies in the blast gain a +2 power bonus to attack rolls until of your next turn.,null,null,null,Murmuring a prayer to your deity% you invoke a blast of white radiance from your holy symbol. Foes burn in its stern light% but your allies are heartened and guided it.
Healing Strike,null,null,null,null,One Creature,null,null,null,null,null,null,Melee,the target is marked until the end of your next turn. In addition%you or one ally within 5 squares of you can spend a healing surge.,null,null,null,null,null,Divine radiance gleams from your weapon. When you smite your enemy% your deity bestows a minor blessing in the form of healing for you or one of your allies.
Wrathful Thunder,null,null,null,null,One Creature,null,null,null,null,null,null,Melee,the target is dazed until the end of your next turn.,null,null,null,null,null,Your arm is made strong by the power of your deity. When you strike% a terrible thunderclap smites your adversary and dazes him.
Avenging Flame,null,null,null,null,One Creature,null,null,null,null,null,null,Melee,ongoing 5 fire damage (save ends).,Half Damage% and no ongoing fire damage.,null,If the target attacks on its turn% it can't attempt a saving throw against the ongoing damage.,null,null,You slam your weapon into your foe% who bursts into flames. Divine fire avenges each attack your enemy dares to make.
Beacon of Hope,null,null,null,null,Each enemy in burst,null,null,null,null,null,null,Close Burst 3,The target is weakened until the end of its next turn.,null,You and all your allies in the burst regain 5 hit points% and your healing powers restore +5 hit points until end of the encounter,null,null,null,A burst of divine energy harms your foes and heals your allies. The radiant energy lingers around your holy symbol and improves your healing powers for the rest of the battle.
Cascade of Light,null,null,null,null,One Creature,null,null,null,null,null,null,10,the target gains vulnerability 5 to all your attacks (save ends).,Half Damage% and no vulnerability,null,null,null,null,A burst of divine radiance sears your foe.
Guardian of Faith,null,null,null,null,null,null,null,null,null,null,null,5,null,null,You conjure a guardian that occupies 1 square within range. Every round% you can move the guardian 3 squares as a move action. The guardian lasts until the end of the encounter. Any creature that ends its turn next to the conjured guardian is subject to a Wisdom vs. Fortitude attack. On a hit% the attack deals 1d8 + Wisdom Modifier radiant damage.,null,null,null,You conjure a ghostly guardian% indistinct except for a glowing shield emblazoned with your deity’s symbol. A burst of radiance erupts from it to sear foes that move next to it.
Bless,null,null,null,null,You and each ally in burst,null,null,null,null,null,null,Close Burst 20,null,null,Effect: Until the end of the encounter% all targets gain a +1 power bonus to attack rolls.,null,null,null,You beseech your deity to bless you and your allies.
Cure Light Wounds,null,null,null,null,You or one creature,null,null,null,null,null,null,Melee,null,null,The target regains hit points as if it had spent a healing surge.,null,null,null,You utter a simple prayer and gain the power to instantly heal wounds% and your touch momentarily suffuses you or a wounded creature with a dim silver light.
Divine Aid,null,null,null,null,You or one ally,null,null,null,null,null,null,5,null,null,The target makes a saving throw with a bonus equal to your Charisma modifier.,null,null,null,You beseech your deity to grant you or one of your allies the strength to overcome a hindrance
Sanctuary,null,null,null,null,You or one creature,null,null,null,null,null,null,10,null,null,The target receives a +5 bonus to all defenses. The effect lasts until the target attacks or until the end of your next turn.,null,null,null,You cast a protective ward upon a creature that makes enemies’ attacks less effective.
Shield of Faith,null,null,null,null,You and each ally in burst,null,null,null,null,null,null,Close Burst 5,null,null,The targets gain a +2 power bonus to AC until the end of the encounter.,null,null,null,A gleaming shield of divine energy appears over you% granting you and nearby allies protection against attacks.
Blazing Beacon,null,null,null,null,One Creature,null,null,null,null,null,null,Melee,All ranged attack rolls against the target gain a +4 power bonus until the end of your next turn,null,null,null,null,null,You invoke your deity’s name% and holy light envelops your weapon. When you strike your foe% a blazing beacon in the form of a holy rune floats above its head to guide your allies’ ranged attacks as well.
Consecrated Ground,null,null,Minor: The zone persists.,null,null,null,null,null,null,null,null,Close Burst 1,null,null,The burst creates a zone of sanctified ground that lasts until the end of your next turn. You can move the origin square of the zone 3 squares as a move action. Enemies that start their turns within the zone take 1d6 + your Charisma modifier radiant damage. You and any allies who are bloodied and start their turns within the zone regain hit points equal to 1 + your Charisma modifier.,null,null,null,With a wave of your hand% jagged lines of radiant light spread across the ground around you like a crackling web% moving at your whim. Enemies that stand upon this ground suffer the wrath of your deity.
Command,null,null,null,null,One Creature,null,null,null,null,null,null,10,The target is dazed until the end of your next turn. In addition% you can choose to knock the target prone or slide the target a number of squares equal to 3 + your Charisma modifier.,null,null,null,null,null,You utter a single word to your foe% a word that demands obedience. You can choose to drive the foe back% order it closer% or cause the foe to throw itself to the ground
Rune of Peace,null,null,null,null,One Creature,null,null,null,null,null,null,Melee,the target cannot attack (save ends.),The target cannot attack you until the end of your next turn.,null,null,null,null,You smash your weapon into your foe% leaving behind a glowing rune that prevents your foe from making attacks.
Daunting Light,null,null,null,null,One Creature,null,null,null,null,null,null,10,null,null,One ally you can see gains combat advantage against the target until the end of your next turn.,null,null,null,A burning column of light engulfs your foe. Its brilliance burns and hinders your foe’s defense for a short time.
Spiritual Weapon,null,null,Minor: When you sustain the power% repeat the attack. Your allies continue to gain combat advantage against the weapon’s target.,null,One Creature,null,null,null,null,null,null,10,null,null, You conjure a weapon that appears in the target’s square and attacks. Your allies gain combat advantage against the target. You can move the weapon up to 10 squares to another enemy’s square as a move action. The weapon lasts until the end of your next turn.,null,null,null,You conjure a glowing weapon adorned with the symbol of your deity. The weapon attacks one of your foes and guides your allies’ attacks against the same target.
Split the Sky,null,null,null,null,One Creature,null,null,null,null,null,null,Melee,You push the target 2 squares and knock it prone.,null,null,null,null,null,You invoke ancient words of wrath as you attack with your weap- on. The thundering power of your melee strike causes your foe to stumble backward and fall.
Weapon of the Gods,null,null,null,null,Held Weapon (1),null,null,null,null,null,null,Melee,null,null,Until the end of the encounter% all attacks made with the weapon deal an extra 1d6 radiant damage. When the weapon hits an enemy% the enemy takes a –2 penalty to AC until the end of the weapon wielder’s next turn.,null,null,null,Your weapon glows with divine radiance% enhancing your attacks.
Break the Spirit,null,null,null,null,One Creature,null,null,null,null,null,null,10,the target takes a penalty to attack rolls equal to your Charisma modifier until the end of your next turn.,null,null,null,null,null,Calling down the power of your god% you bathe your foe in agonizing radiance% driving strength out of its impending attacks.
Bastion of Health,null,null,null,null,You or one ally,null,null,null,null,null,null,10,null,null,The target can spend a healing surge. Add your Charisma modifier to the hit points regained.,null,null,null,You invoke a prayer that instantly fortifies one of your allies.
Cure Serious Wounds,null,null,null,null,You or one creature,null,null,null,null,null,null,Melee,null,null,The target regains hit points as if it had spent two healing surges.,null,null,null,You utter a simple prayer and gain the power to instantly heal wounds% and your touch momentarily suffuses you or a wounded creature with a bright silver light.
Searing Light,null,null,null,null,One Creature,null,null,null,null,null,null,Melee,the target is blinded until the end of your next turn.,null,null,null,null,null,You invoke the power of your deity. From your holy symbol a searing ray of light flashes forth% striking and blinding your enemy for a short time.
