Power Name,Requirement,Trigger,Sustain Action,Weapon Bonus,Primary Target,Secondary Target,Secondary Attack,Secondary Hit,Tertiary Target,Tertiary Attack,Tertiary Hit,Range,Hit Effects,Miss Effects,Effects,Special Effects,Damage Increase at 11,Damage Increase at 21,Description,Prerequisites
~ROGUE STANDARD~,,,,,,,,,,,,,,,,,,,,
Deft Strike,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,null,null,null,You can move 2 squares before the attack,null,2[W] + Dexterity modifier,A final lunge brings you into an advantageous position.,Lvl 1
Piercing Strike,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,null,null,null,null,null,2[W] + Dexterity modifier,A needle-sharp point slips past armor and into tender flesh.,Lvl 1
Riposte Strike,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,If the target attacks you before the start of your next turn% you make your riposte against the target as an immediate interrupt: a Strength vs. AC attack that deals 1[W] + Strength modifier damage.,null,null,null,null,2[W] + Dexterity modifier and riposte to 2[W] + Strength modifier,With a calculated strike% you leave your foe vulnerable to an adroit riposte should he dare attack you.,Lvl 1
Sly Flourish,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,null,null,null,null,null,2[W] + Dexterity modifier + Charisma modifier,A distracting flourish causes the enemy to forget the blade at his throat.,Lvl 1
Dazing Strike,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,The target is dazed until the end of your next turn.,null,null,null,null,null,An expert strike catches your foe by surprise and leaves him reeling from the pain.,Lvl 1
King's Castle,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,null,null,Switch places with a willing adjacent ally.,null,null,null,It’s hard to get to the little guy when he takes cover behind an ally who can crush plate armor in his teeth.,Lvl 1
Positioning Strike,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,You slide the target 1 square.,null,null,If you posess the Artful Dodger tactic% you slide the target a number of squares equal to your Charisma modifier instead.,null,null,A false stumble and a shove place the enemy exactly where you want him.,Lvl 1
Torturous Strike,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,null,null,null,If you posess the Brutal Scoundrel tactic% you gain a bonus to the damage roll equal to your Strength modifier.,null,null,If you twist the blade in the wound just so% you can make your enemy howl in pain.,Lvl 1
Blinding Barrage,You must be wielding a crossbow% a light thrown weapon% or a sling.,null,null,null,Each enemy in blast you can see,null,null,null,null,null,null,Close blast 3,The target is blinded until the end of your next turn.,Half damage% and the target is not blinded.,null,null,null,null,A rapid barrage of projectiles leaves your enemies clearing the blood from their eyes.,Lvl 1
Easy Target,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,The target is slowed and grants combat advantage to you (save ends both).,Half damage% and the target grants combat advantage to you until the end of your next turn.,null,null,null,null,You deal a staggering blow to your enemy% setting it up for future attacks.,Lvl 1
Trick Strike,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,You slide the target 1 square.,null,Until the end of the encounter% each time you hit the target you slide it 1 square.,null,null,null,Through a series of feints and lures% you maneuver your foe right where you want him.,Lvl 1
Fleeting Ghost,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,You can move your speed and make a Stealth check. You do not take the normal penalty from movement on this check.,null,null,null,You are stealthy and fleet of foot at the same time.,Lvl 2&[Stealth]
Great Leap,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,Make a high jump or a long jump. Determine the DC of the Athletics check as though you had a running start. The distance you jump can exceed your speed.,null,null,null,You leap a great distance without a running start.,Lvl 2&[Athletics]
Master of Deceit,null,You roll a Bluff check and dislike the result,null,null,null,null,null,null,null,null,null,Personal,null,null,Reroll the Bluff check. You decide whether to make the reroll before the DM announces the result.,null,null,null,The line between truth and deception is thin% and you cross it with ease.,Lvl 2&[Bluff]
Quick Fingers,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,Make a Thievery check as part of this action% even if the check is normally a standard action.,null,null,null,You can pilfer a coin pouch in the blink of an eye.,Lvl 2&[Thievery]
Tumble,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,You can shift a number of squares equal to one-half your speed.,null,null,null,You tumble out of harm’s way% dodging the opportunistic attacks of your enemies.,Lvl 2&[Acrobatics]
Bait and Switch,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,You switch places with the target and can then shift 1 square.,null,null,If you posess the Artful Dodger tactic% you can shift a number of squares equal to your Charisma modifier instead.,null,null,You strike and weave% causing your foe to lurch forward so that you can duck around him and slip into his space.,Lvl 3
Setup Strike,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,The target grants combat advantage to you until the end of your next turn.,null,null,null,null,null,You land a calculated blow that causes your enemy to drop his guard% leaving him vulnerable to subsequent attacks.,Lvl 3
Topple Over,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,The target is knocked prone.,null,null,If you posess the Brutal Scoundrel tactic% you gain a bonus to the attack roll equal to your Strength modifier.,null,null,Balance and momentum are your allies as you lunge forward% strike deftly% and knock your opponent to the ground.,Lvl 3
Trickster's Blade,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,Add your Charisma modifier to your AC until the start of your next turn.,null,null,null,null,null,You land an expert blow and follow up with a clever series of feints that bewilder your enemies.,Lvl 3
Clever Riposte,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,null,null,Until the end of the encounter% the target takes damage equal to your Dexterity modifier each time it attacks you% and you can shift as an immediate reaction after such an attack.,null,null,null,You follow up a fierce attack with a series of quick% painful strikes woven between your enemy’s attacks.,Lvl 5
Deep Cut,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,Ongoing damage equal to 5 + your Strength modifier (save ends).,Half damage% and no ongoing damage.,null,null,null,null,Each drop of blood is another nail in your enemy’s coffin.,Lvl 5
Walking Wounded,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,The target is knocked prone. Until the end of the encounter% if the target moves more than half its speed in a single action% it falls prone at the end of its movement.,Half damage% and the target is not knocked prone.,null,null,null,null,You topple your enemy with a crippling blow and force him to stumble around the battlefield.,Lvl 5
Chameleon,null,You are hidden and lose cover or concealment against an opponent,null,null,null,null,null,null,null,null,null,Personal,null,null,Make a Stealth check. Until the end of your next turn% you remain hidden if a creature that has a clear line of sight to you does not beat your check result with its Perception check. If at the end of your turn you do not have cover or concealment against a creature% that creature automatically notices you.,null,null,null,You blend into your surroundings.,Lvl 6&[Stealth]
Ignoble Escape,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,If you are marked% end that condition. You can shift a number of squares equal to your speed.,null,null,null,With nimble ease% you sidestep one perilous situation after another.,Lvl 6&[Acrobatics]
Mob Mentality,null,null,null,null,You and each ally in burst,null,null,null,null,null,null,Close burst 10,null,null,The targets gain a +2 power bonus to Charisma-based skill and ability checks until the end of your next turn.,null,null,null,When it comes to lying% cajoling% or persuading others% your allies follow your lead.,Lvl 6&[Intimidate]
Nimble Climb,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,Make an Athletics check to climb a surface. You can move at your full speed during this climb.,null,null,null,You climb surfaces with astounding ease.,Lvl 6&[Athletics]
Slippery Mind,null,You are hit by an attack against your Will defense,null,null,null,null,null,null,null,null,null,Personal,null,null,Gain a +2 power bonus to your Will defense against the triggering attack.,null,null,null,You cloud your mind with vague thoughts that shield you against a sudden mental attack.,Lvl 6&[Bluff]
Cloud of Steel,You must be wielding a crossbow% a light thrown weapon% or a sling.,null,null,null,Each enemy in blast you can see,null,null,null,null,null,null,Close blast 5,null,null,null,null,null,null,You shower your enemies in sharp metal.,Lvl 7
Imperiling Strike,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,The target takes a –1 penalty to AC and Reflex defense until the end of your next turn.,null,null,If you posess the Brutal Scoundrel tactic% the penalty to AC and Reflex defense is equal to your Strength modifier.,null,null,You deal a staggering blow% opening a hole in your enemy’s defenses.,Lvl 7
Rogue's Luck,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,The same target,Dexterity vs. AC,1[W] + Dexterity modifier damage.,null,null,null,Melee or Ranged weapon,null,Make a secondary attack against the target.,null,If you posess the Artful Dodger tactic% you gain a bonus to the attack roll for the secondary attack equal to your Charisma modifier.,null,null,A gifted rogue can turn failure into fortune.,Lvl 7
Sand in the Eyes,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,The target is blinded until the end of your next turn.,null,null,null,null,null,You scoop up a handful of sand or dirt or pebbles% strike your foe% and throw the grit in his face to blind him.,Lvl 7
Crimson Edge,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,The target takes ongoing damage equal to 5 + your Strength modifier and grants combat advantage to you (save ends both).,Half damage% and no ongoing damage.,null,null,null,null,You deal your enemy a vicious wound that continues to bleed% and like a shark% you circle in for the kill.,Lvl 9
Deadly Positioning,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee 1,null,null,Until the end of the encounter% as long as you are adjacent to the target% you slide the target 1 square before making a melee attack against it.,Before making the attack% you slide the target to any other square adjacent to you.,null,null,You adroitly outmaneuver your enemy% pushing and baiting him with every stride and strike.,Lvl 9
Knockout,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,The target is knocked unconscious (save ends). If the unconscious target takes any damage% it is no longer unconscious.,Half damage% and the target is dazed until the end of your next turn.,null,null,null,null,A well-placed blow takes your foe out of the fight.,Lvl 9
Certain Freedom,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,You automatically succeed on an Acrobatics check to escape from a grab or to escape from restraints.,null,null,null,You are as slippery as an eel.,Lvl 10&[Acrobatics]
Close Quarters,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,Move into the space of an adjacent creature larger than you and at least Large in size. (It gets its usual opportunity attack against you as you leave an adjacent square.) You gain combat advantage against the creature% and it takes a –4 penalty to attack rolls against you. When the creature moves% you move along with it% staying in the same portion of the creature’s space. The creature can make a Strength or Dexterity vs. Reflex attack (as a standard action with no penalty) to slide you into an adjacent square and end this effect.,Allies of the target creature can attack you without penalty.,null,null,You take cover beneath a much larger creature% making it harder for the creature to hit you.,Lvl 10&[Acrobatics]
Dangerous Theft,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,On your next action% ignore the –10 penalty when you make a Thievery check to pick a pocket during combat.,null,null,null,You snatch an item from an enemy during combat.,Lvl 10&[Thievery]
